K, deltaK
190.5932203389831, 3.530973451327432
202.03389830508476, 3.9292035398230087
212.2033898305085, 4.3539823008849545
221.5254237288136, 4.778761061946902
231.69491525423732, 5.309734513274336
243.55932203389833, 6.053097345132743
254.15254237288138, 6.955752212389379
266.4406779661017, 8.309734513274336
280, 10.619469026548671
284.23728813559325, 11.70796460176991
287.2033898305085, 12.610619469026549
288.8983050847458, 13.141592920353983
290.1694915254237, 13.752212389380531
291.86440677966107, 14.415929203539822
293.5593220338983, 15.02654867256637
294.8305084745763, 15.265486725663717
296.10169491525426, 15.238938053097344
297.79661016949154, 15.15929203539823
299.49152542372883, 15.053097345132743
301.1864406779661, 14.920353982300885
302.8813559322034, 14.761061946902654
304.1525423728814, 14.601769911504425
305.8474576271187, 14.415929203539822
307.54237288135596, 14.23008849557522
310.50847457627117, 13.805309734513274
313.4745762711865, 13.380530973451327
316.86440677966107, 12.902654867256636
321.10169491525426, 12.212389380530972
327.4576271186441, 11.23008849557522
333.81355932203394, 10.353982300884955
341.4406779661017, 9.371681415929203
