K, deltaK
100.42372881355931, 0.24681933842239268
108.68644067796609, 0.2875318066157764
118.85593220338983, 0.3486005089058528
129.02542372881356, 0.40966921119592925
137.28813559322032, 0.4707379134860057
145.55084745762713, 0.5216284987277353
155.08474576271186, 0.5928753180661586
163.34745762711862, 0.653944020356235
172.8813559322034, 0.7150127226463106
181.77966101694915, 0.7760814249363879
190.04237288135596, 0.8575063613231553
198.3050847457627, 0.9185750636132326
205.93220338983053, 0.9898218829516541
212.9237288135593, 1.0610687022900764
219.91525423728814, 1.1628498727735375
226.90677966101697, 1.2442748091603058
233.26271186440675, 1.325699745547074
240.25423728813558, 1.4173027989821891
245.33898305084745, 1.5089058524173034
249.78813559322037, 1.6005089058524185
253.60169491525426, 1.6921119592875318
257.4152542372882, 1.7938931297709928
263.135593220339, 1.9567430025445303
266.94915254237293, 2.1501272264631046
272.0338983050848, 2.3842239185750635
276.4830508474576, 2.6997455470737917
279.02542372881356, 2.974554707379135
280.93220338983053, 3.1374045801526727
282.2033898305085, 3.330788804071247
283.47457627118644, 3.5241730279898222
285.3813559322034, 3.7582697201017816
286.6525423728813, 4.033078880407125
288.55932203389835, 4.338422391857507
289.8305084745763, 4.7150127226463106
291.10169491525426, 5.1526717557251915
293.00847457627117, 5.559796437659033
294.2796610169492, 5.661577608142494
296.1864406779661, 5.508905852417303
297.45762711864404, 5.33587786259542
299.364406779661, 5.1526717557251915
300.635593220339, 4.959287531806616
301.90677966101697, 4.765903307888041
303.8135593220339, 4.56234096692112
305.72033898305085, 4.358778625954199
306.9915254237288, 4.1653944020356235
308.26271186440675, 3.9821882951653946
310.1694915254237, 3.7989821882951658
311.4406779661017, 3.625954198473283
313.3474576271186, 3.4631043256997462
314.6186440677966, 3.3002544529262092
315.8898305084746, 3.1577608142493645
317.79661016949154, 3.0254452926208657
319.70338983050846, 2.8931297709923673
322.2457627118644, 2.6895674300254457
325.42372881355936, 2.4961832061068705
326.6949152542373, 2.4045801526717563
328.60169491525426, 2.323155216284988
329.8728813559322, 2.2519083969465656
