T, emu/g
0, 0
0.20289855072463792, 92.11356466876973
0.4057971014492756, 123.81703470031547
0.6086956521739135, 128.07570977917985
0.8115942028985508, 131.38801261829656
1.0144927536231885, 132.807570977918
1.2028985507246377, 134.70031545741327
1.4202898550724639, 135.6466876971609
1.6231884057971016, 137.5394321766562
1.8260869565217392, 138.9589905362776
2.014492753623189, 139.90536277602527
2.2173913043478266, 140.8517350157729
2.405797101449276, 141.79810725552053
2.608695652173913, 142.74447949526817
2.7971014492753623, 143.6908517350158
3.0144927536231885, 145.11041009463725
3.2028985507246377, 145.58359621451106
3.420289855072464, 146.5299684542587
3.5942028985507246, 147.0031545741325
3.7971014492753623, 148.42271293375398
4, 148.42271293375398
4.202898550724637, 149.8422712933754
4.405797101449275, 150.31545741324922
4.594202898550725, 151.26182965299688
4.797101449275362, 151.7350157728707
5, 152.2082018927445
5.202898550724638, 152.68138801261833
5.391304347826087, 154.10094637223978
5.5942028985507255, 154.10094637223978
