T, emu/g
0, 0
0.20289855072463792, 85.48895899053633
0.4057971014492756, 106.78233438485805
0.6086956521739135, 111.51419558359623
0.8115942028985508, 114.35331230283916
1.0144927536231885, 116.71924290220824
1.2173913043478262, 119.08517350157729
1.4057971014492754, 120.97791798107258
1.608695652173913, 122.39747634069406
1.8115942028985508, 124.29022082018929
2.014492753623189, 125.70977917981077
2.202898550724638, 127.60252365930603
2.405797101449276, 128.54889589905366
2.608695652173913, 129.9684542586751
2.8115942028985508, 131.38801261829656
3, 132.3343848580442
3.2028985507246377, 133.28075709779182
3.4057971014492754, 134.22712933753945
3.5942028985507246, 135.17350157728708
3.7971014492753623, 136.59305993690856
4, 137.5394321766562
4.202898550724637, 138.4858044164038
4.391304347826087, 139.43217665615146
4.594202898550725, 139.90536277602527
4.797101449275362, 141.32492113564672
4.9855072463768115, 141.79810725552053
5.188405797101449, 142.74447949526817
5.391304347826087, 143.6908517350158
5.5942028985507255, 144.1640378548896
