T, emu/g
0, 0
0.20289855072463792, 29.65299684542589
0.4057971014492756, 45.741324921135686
0.6086956521739135, 56.151419558359635
0.8115942028985508, 64.19558359621453
1.0144927536231885, 70.82018927444796
1.2028985507246377, 75.0788643533123
1.4057971014492754, 79.3375394321767
1.608695652173913, 83.59621451104104
1.8115942028985508, 86.90851735015775
2.014492753623189, 89.74763406940068
2.202898550724638, 92.58675078864357
2.405797101449276, 95.42586750788644
2.608695652173913, 97.79179810725557
2.8115942028985508, 99.68454258675081
3, 102.05047318611992
3.2028985507246377, 103.47003154574134
3.4057971014492754, 105.36277602523663
3.608695652173913, 107.25552050473189
3.7971014492753623, 109.14826498422718
4, 110.09463722397481
4.202898550724637, 111.98738170347005
4.405797101449275, 113.40694006309153
4.594202898550725, 114.35331230283916
4.797101449275362, 115.77287066246058
5, 117.19242902208202
5.202898550724638, 118.13880126182966
5.391304347826087, 119.55835962145113
5.5942028985507255, 120.50473186119876
