K, J/mol K
3.592814371257475, 0.18867924528301216
11.077844311377234, 1.0377358490565953
14.82035928143712, 2.169811320754711
30.53892215568861, 10.56603773584905
33.53293413173651, 12.264150943396217
36.526946107784426, 14.245283018867916
26.796407185628738, 8.301886792452827
18.562874251496993, 3.773584905660371
22.30538922155688, 6.037735849056595
41.017964071856284, 16.22641509433962
45.50898203592813, 18.1132075471698
50, 19.905660377358487
55.9880239520958, 21.886792452830186
63.473053892215574, 23.77358490566037
70.95808383233532, 25.56603773584905
79.94011976047904, 27.075471698113198
88.92215568862278, 28.30188679245282
99.40119760479044, 29.33962264150943
109.8802395209581, 30.37735849056603
123.35329341317367, 31.320754716981128
136.82634730538925, 32.26415094339622
150.2994011976048, 33.018867924528294
165.26946107784434, 33.96226415094339
177.24550898203594, 34.811320754716974
189.97005988023955, 35.660377358490564
203.44311377245515, 36.698113207547166
240.11976047904193, 40.56603773584905
248.35329341317367, 41.88679245283018
257.3353293413174, 43.584905660377345
213.17365269461078, 37.73584905660377
220.65868263473055, 38.67924528301886
230.3892215568863, 39.433962264150935
262.5748502994012, 44.90566037735849
269.311377245509, 46.60377358490565
276.0479041916168, 48.67924528301886
282.0359281437126, 51.037735849056595
283.53293413173657, 51.698113207547166
285.02994011976057, 52.830188679245275
286.52694610778445, 54.0566037735849
288.0239520958084, 55.0943396226415
289.52095808383234, 56.88679245283018
291.01796407185634, 59.245283018867916
292.5149700598803, 49.52830188679245
294.0119760479042, 39.811320754716974
296.25748502994014, 38.018867924528294
297.00598802395217, 36.88679245283018
298.50299401197606, 35.94339622641509
300.74850299401203, 35.283018867924525
302.99401197604794, 34.24528301886792
308.23353293413174, 33.018867924528294
313.4730538922156, 32.26415094339622
319.46107784431143, 31.509433962264144
326.19760479041923, 30.75471698113207
333.68263473053895, 30.188679245283012
342.66467065868267, 29.811320754716974
347.90419161676647, 29.622641509433954
