K, J/mol K
3.592814371257475, 0.28301886792452535
15.568862275449092, 2.264150943396224
18.562874251496993, 3.679245283018858
11.077844311377234, 1.1320754716981156
21.556886227544894, 5.660377358490564
24.55089820359281, 7.452830188679243
26.796407185628738, 9.15094339622641
30.53892215568861, 11.226415094339615
33.53293413173651, 13.20754716981132
38.02395209580838, 15.094339622641499
42.51497005988023, 16.98113207547169
47.0059880239521, 19.056603773584904
52.9940119760479, 20.94339622641509
60.47904191616766, 22.924528301886788
66.46706586826349, 24.433962264150942
73.95209580838323, 25.75471698113207
81.43712574850301, 27.16981132075471
91.1676646706587, 28.49056603773584
100.14970059880241, 29.245283018867916
111.37724550898204, 30.188679245283012
121.8562874251497, 31.226415094339618
133.83233532934133, 31.886792452830182
150.2994011976048, 32.83018867924528
163.77245508982037, 33.867924528301884
177.24550898203594, 34.622641509433954
186.9760479041916, 35.37735849056603
201.19760479041918, 36.41509433962264
216.16766467065872, 37.54716981132074
226.64670658682633, 38.58490566037735
238.622754491018, 39.71698113207547
250.5988023952096, 41.13207547169811
261.0778443113773, 42.54716981132075
272.30538922155694, 44.0566037735849
280.5389221556887, 45.283018867924525
287.2754491017964, 45.66037735849056
292.5149700598803, 45.283018867924525
297.00598802395217, 44.24528301886792
300.74850299401203, 43.39622641509433
304.4910179640719, 42.0754716981132
307.48502994011983, 40.37735849056603
311.97604790419166, 38.30188679245282
317.9640718562875, 36.1320754716981
323.95209580838326, 34.0566037735849
332.93413173652704, 32.45283018867924
340.41916167664675, 31.320754716981128
347.90419161676647, 30.94339622641509
