K, J/mol K
3.592814371257475, 0.28301886792452535
11.077844311377234, 0.9433962264150892
15.568862275449092, 2.4528301886792434
19.31137724550898, 4.339622641509429
23.05389221556885, 6.603773584905653
26.047904191616766, 8.679245283018865
34.281437125748496, 12.830188679245282
38.02395209580838, 14.811320754716974
30.53892215568861, 10.75471698113207
41.76646706586827, 16.886792452830186
47.75449101796407, 18.96226415094339
52.9940119760479, 20.94339622641509
59.73053892215569, 22.830188679245275
66.46706586826349, 24.33962264150943
74.7005988023952, 26.037735849056595
84.4311377245509, 27.452830188679243
97.1556886227545, 28.96226415094339
111.37724550898204, 30.188679245283012
126.34730538922156, 31.320754716981128
142.06586826347308, 32.169811320754704
156.2874251497006, 33.11320754716981
187.72455089820363, 34.71698113207546
172.0059880239521, 34.0566037735849
200.4491017964072, 35.47169811320754
228.14371257485033, 37.16981132075471
244.61077844311382, 38.30188679245282
213.17365269461078, 36.226415094339615
256.5868263473054, 39.15094339622641
271.55688622754496, 39.99999999999999
286.52694610778445, 40.94339622641509
294.7604790419162, 41.13207547169811
302.245508982036, 41.13207547169811
309.73053892215574, 40.94339622641509
317.9640718562875, 40.66037735849056
325.4491017964072, 39.99999999999999
334.431137724551, 39.0566037735849
341.9161676646707, 38.11320754716981
347.90419161676647, 37.16981132075471
