K, J/mol K
2.8443113772455035, 0.28301886792452535
11.077844311377234, 1.3207547169811207
16.317365269461064, 3.018867924528294
20.05988023952095, 4.905660377358487
23.05389221556885, 6.981132075471699
26.796407185628738, 9.056603773584897
30.53892215568861, 11.320754716981128
33.53293413173651, 13.396226415094333
38.02395209580838, 15.377358490566031
42.51497005988023, 17.35849056603773
47.0059880239521, 18.96226415094339
52.9940119760479, 20.849056603773576
58.982035928143716, 23.018867924528294
65.71856287425149, 24.52830188679245
75.4491017964072, 26.226415094339615
87.42514970059881, 27.924528301886788
97.90419161676647, 29.33962264150943
111.37724550898204, 30.56603773584905
125.59880239520962, 31.415094339622634
139.07185628742516, 32.45283018867924
150.2994011976048, 33.11320754716981
163.77245508982037, 34.0566037735849
176.49700598802397, 34.811320754716974
192.21556886227546, 35.660377358490564
207.185628742515, 36.41509433962264
220.65868263473055, 37.35849056603773
238.622754491018, 39.0566037735849
254.3413173652695, 40.37735849056603
267.0658682634731, 41.50943396226414
279.0419161676647, 42.35849056603773
288.0239520958084, 42.92452830188678
294.0119760479042, 43.018867924528294
300, 42.830188679245275
306.7365269461078, 42.45283018867924
311.2275449101797, 41.60377358490565
314.97005988023955, 40.75471698113206
319.46107784431143, 39.62264150943396
323.95209580838326, 38.490566037735846
328.44311377245515, 37.54716981132074
332.93413173652704, 36.60377358490565
337.4251497005988, 35.283018867924525
343.4131736526947, 34.24528301886792
349.40119760479047, 33.58490566037736
